Name   RA_DEC            Bulge  BH    MB   Act  O/H   BMAG    Morpho
SDSS J095056.24+621108.5  9.42  6.43 10.98 TO  +0.13 -19.15   Sab
SDSS J114439.05+675720.9  8.82  NA   10.09 SFG +0.44 -16.94   Sa 
SDSS J142757.71+625609.3  9.40  6.40 11.11 AGN -0.22 -19.46   Sb 
SDSS J104612.58+014847.8  8.23  NA    9.29 SFG +0.16 -15.56   Sd 
SDSS J114743.68+014934.3  9.66  6.70 10.97 AGN -0.66 -19.12   Sb 
SDSS J122435.05+015332.4  9.41  6.42 10.47 TO  +0.11 -17.87   Sab
SDSS J133548.24+025956.1  9.53  6.55 11.04 AGN -0.36 -19.28   Sb 
SDSS J092335.85+533606.9  9.71  6.75 10.81 AGN -0.41 -18.76   Sa 
SDSS J093011.75+555108.7  9.41  NA   10.96 SFG +0.48 -19.47   Sc 
SDSS J102509.88+580859.9  8.50  NA    9.86 SFG +0.32 -16.98   Sd 
SDSS J102824.15+594550.9  9.54  6.56 10.86 TO  +0.16 -18.87   Sa 
SDSS J103111.52+605605.3  9.47  6.48 10.83 AGN -0.30 -18.76   Sab
SDSS J105225.08+594107.9  9.35  NA   11.04 SFG +0.41 -19.69   Sc 
SDSS J093141.63+043000.1  9.56  6.59 11.07 AGN -0.30 -18.87   S0 
SDSS J095145.09+031620.6  9.62  6.65 11.10 TO  -0.17 -19.43   Sb 
SDSS J100616.91+034939.9  9.64  6.67 10.88 AGN -0.27 -18.90   Sab
SDSS J100453.90+050345.4  9.68  6.72 10.72 TO  -0.01 -17.99   S0 
SDSS J102453.07+035047.7  9.10  6.08 10.62 TO  +0.01 -18.62   Sc 
SDSS J111356.28+651039.1  8.61  NA    8.77 SFG +0.25 -14.01   Sc 
SDSS J143933.10+620010.5  9.45  6.46 10.93 TO  +0.13 -19.02   Sb 
SDSS J163446.00+451927.5  9.07  6.04 10.69 TO  +0.32 -18.80   Sc 
SDSS J165031.26+414837.2  9.47  6.48 10.65 TO  +0.14 -18.32   Sab
SDSS J165850.68+400716.1  9.93  7.00 11.26 AGN -0.48 -19.33   S0 
SDSS J203623.47-043707.4  9.58  NA   11.06 SFG +0.29 -19.33   Sb 
SDSS J204952.23-070118.6  9.26  6.25  8.77 TO  +0.10 -13.62   Sab
SDSS J234152.63-083853.4  9.84  6.91 11.20 AGN -0.54 -19.73   Sa 
SDSS J002151.15-092932.1  9.33  NA   10.62 SFG +0.46 -18.23   Sb 
SDSS J225239.26-091604.0  9.17  6.15 10.29 AGN -0.38 -17.42   Sab
SDSS J230658.16-091710.1  9.85  6.91 10.91 AGN -0.16 -19.00   Sa 
SDSS J212148.84+103921.8  9.50  6.52 10.77 AGN -0.30 -18.11   S0 
SDSS J214020.88+122117.2  9.31  NA   10.60 SFG +0.30 -18.18   Sab
SDSS J215038.41+131717.4  9.58  6.61 10.90 AGN -0.18 -18.98   Sa 
SDSS J215652.70+121857.9  9.41  NA   10.92 SFG +0.54 -18.99   Sb 
SDSS J232923.57+141215.4  9.50  6.52 11.21 TO  +0.09 -20.11   Sc 
SDSS J081422.02+391504.8  9.39  NA   10.99 SFG +0.46 -19.16   Sb 
SDSS J082922.49+432131.2  9.51  NA   10.84 SFG +0.33 -18.79   Sb 
SDSS J083909.27+450747.7  9.51  NA   11.16 SFG +0.43 -19.58   Sb 
SDSS J090058.50+474743.3  8.83  5.77 10.02 AGN -0.27 -16.73   Sab
SDSS J092102.64+493608.2  9.65  6.69 11.12 TO  +0.27 -19.48   Sab
SDSS J104636.85+631327.2  8.19  NA    9.63 SFG +0.14 -16.4    Sd 
SDSS J152546.70+522641.0  9.40  6.41 10.52 TO  +0.03 -17.99   Sab
SDSS J161015.02+470342.4  9.43  NA   10.60 SFG +0.27 -18.19   Sab
SDSS J084505.72+403334.1  9.30  NA   11.04 SFG +0.43 -19.28   Sb 
SDSS J085741.79+430738.9  9.67  6.70 11.31 TO  +0.06 -19.97   Sb 
SDSS J091214.52+445717.4  8.70  5.62 10.56 TO  +0.18 -18.48   Sc 
SDSS J092110.80+455316.1  8.43  NA    8.25 SFG +0.31 -12.95   Sd 
SDSS J093923.05+470736.5  9.67  6.71 10.86 TO  +0.14 -18.85   Sab
SDSS J094058.13+473713.6  9.08  NA   10.60 SFG +0.37 -18.57   Sc 
SDSS J124957.87+051841.0  7.88  4.71  9.64 TO  +0.04 -16.42   Sd 
SDSS J125112.88+045132.5  9.45  6.46 11.32 AGN -0.04 -19.98   Sb 
SDSS J133439.26+040747.8  9.27  NA   10.85 SFG +0.58 -19.2    Sc 
SDSS J133229.74+033543.8  9.72  NA   10.53 SFG +0.56 -18.02   Sab
SDSS J084225.76+371315.7  9.37  6.38 10.61 AGN -0.12 -18.25   Sa 
SDSS J100323.33+482157.0  9.61  6.64 10.92 AGN -0.23 -19.02   Sa 
SDSS J120709.23+534017.2 10.27  7.39 11.46 AGN -0.24 -20.37   Sa 
SDSS J121131.38+515148.5  9.28  NA   10.79 SFG +0.40 -19.06   Sc 
SDSS J080707.17+361400.4  9.69  6.73 11.32 AGN -0.62 -19.98   Sb 
SDSS J082519.66+391855.5 10.16  NA   11.46 SFG +0.31 -20.33   Sab
SDSS J091455.67+465411.0  9.04  6.00 10.75 TO  +0.28 -18.57   Sab
SDSS J095749.08+514916.2  9.12  6.10 10.73 TO  +0.29 -18.90   Sc 
SDSS J101715.98+532742.8  9.94  7.02 11.12 AGN -0.03 -19.49   Sb 
SDSS J104438.23+562210.7  9.57  6.59 10.87 TO  +0.34 -18.86   Sab
SDSS J142711.81-021544.6  9.36  6.37 10.84 AGN -0.19 -19.18   Sc 
SDSS J145207.95-023147.0  8.57  NA   10.16 SFG +0.40 -17.72   Sd 
SDSS J145804.80-014712.7  9.77  6.82 10.94 AGN -0.07 -19.05   Sab
SDSS J074330.37+225549.8  9.25  NA   10.68 SFG +0.39 -18.38   Sb 
SDSS J084408.27+344302.0  8.88  5.83 10.68 TO  -0.05 -18.79   Sc 
SDSS J101954.92+453259.1  8.09  NA    8.72 SFG +0.45 -13.88   Sc 
SDSS J102240.72+461419.2  8.91  5.85 10.11 TO  +0.19 -17.36   Sc 
SDSS J100018.90+543218.9  8.37  NA    9.38 SFG +0.06 -15.77   Sd 
SDSS J125244.49+591556.2  9.94  NA   11.10 SFG +0.44 -19.47   Sa 
SDSS J204052.08+003909.9  9.40  6.41 10.72 TO  +0.15 -18.50   Sb 
SDSS J205222.37+000432.6  9.52  NA   11.26 SFG +0.45 -19.83   Sb 
SDSS J092217.59+044230.0  9.49  6.50 10.98 AGN -0.32 -19.13   Sab
SDSS J093438.63+055029.1  9.22  6.20 10.19 TO  +0.38 -17.55   Sc 
SDSS J102915.49+060741.0  8.63  NA    9.65 SFG +0.11 -16.21   Sc 
SDSS J105231.11+071329.6  9.20  NA   11.14 SFG +0.48 -19.54   Sb 
SDSS J104454.42+512930.0  9.13  NA   10.66 SFG +0.61 -18.73   Sc 
SDSS J113050.46+542340.4  9.07  NA   10.35 SFG +0.33 -17.57   Sb 
SDSS J123600.11+541315.4  9.62  6.65 10.90 AGN -0.37 -18.95   Sb 
SDSS J125116.51+534146.6  9.43  6.44 10.74 AGN -0.12 -18.58   Sa 
SDSS J131446.03+534913.2  9.55  6.57 10.60 AGN -0.21 -18.23   Sa 
SDSS J132745.69+544756.9 10.04  7.12 11.16 AGN -0.43 -19.62   Sa 
SDSS J144331.70+481158.3  9.69  6.73 11.01 TO  -0.02 -19.25   Sa 
SDSS J153626.77+475117.3  9.36  6.36 10.94 TO  +0.25 -19.04   Sb 
SDSS J085850.46+061734.7  9.12  NA   10.94 SFG +0.51 -19.43   Sc 
SDSS J090015.62+401748.3  9.38  6.38 10.81 TO  +0.07 -19.11   Sc 
SDSS J084153.06+325205.3  9.58  6.61 11.05 AGN -0.30 -19.31   Sab
SDSS J084408.90+333056.6  9.48  6.50 10.81 TO  -0.06 -18.71   Sab
SDSS J091958.02+371128.5  8.80  5.73  9.82 AGN -0.42 -16.25   Sab
SDSS J095204.01+405129.4  9.15  6.13 10.70 AGN -0.39 -18.44   Sb 
SDSS J110952.32+093109.9  9.90  6.97 10.96 AGN +0.06 -18.58   S0 
SDSS J114018.50+090035.5  8.65  5.56 10.20 TO  +0.01 -17.22   Sa 
SDSS J115651.62+084252.4  9.27  6.26 10.55 TO  +0.22 -18.06   Sab
SDSS J115827.52+100117.4  8.99  5.94 10.62 TO  +0.03 -18.25   Sb 
SDSS J093859.18+065719.5  9.39  NA   11.06 SFG +0.54 -19.35   Sb 
SDSS J080036.67+222400.1  9.06  NA   10.59 SFG +0.50 -18.56   Sc 
SDSS J081807.59+263801.8  9.13  6.11 10.73 AGN -0.16 -18.52   Sb 
SDSS J082009.89+270536.5  9.75  6.80 10.84 TO  +0.36 -18.83   Sa 
SDSS J093712.22+363712.6  9.89  6.96 10.93 TO  +0.06 -19.04   Sa 
SDSS J093015.61+364133.3  9.31  NA   10.87 SFG +0.29 -18.87   Sb 
SDSS J094302.19+374923.3  9.42  NA   10.86 SFG +0.41 -18.84   Sab
SDSS J095058.69+375758.8  9.69  6.74 10.89 AGN -0.66 -18.91   Sab
SDSS J123713.54+492653.6  9.53  6.55 11.18 AGN -0.22 -19.64   Sb 
SDSS J141235.80+471510.9  9.51  NA   10.72 SFG +0.45 -18.48   Sb 
SDSS J144901.18+422750.1  8.99  NA   10.66 SFG +0.40 -18.34   Sb 
SDSS J084324.71+080446.9  9.46  NA   10.92 SFG +0.30 -19.     Sab
SDSS J094514.39+090637.2  9.16  6.14 10.85 TO  -0.10 -19.21   Sc 
SDSS J135429.15+541950.3  9.36  6.37 10.83 TO  +0.27 -18.76   Sb 
SDSS J143816.28+402724.2  8.64  NA   10.33 SFG +0.37 -18.15   Sd 
SDSS J103909.45+414112.0  7.98  NA    9.20 SFG -0.12 -15.33   Sd 
SDSS J110604.55+431951.9  8.74  NA   10.20 SFG +0.25 -17.58   Sc 
SDSS J141153.44+381137.8  9.68  6.72 10.83 AGN -0.04 -18.77   Sab
SDSS J143714.69+382715.3  9.05  NA   10.50 SFG +0.51 -18.32   Sc 
SDSS J142908.35+414950.8  9.30  6.30 10.61 TO  +0.19 -18.21   Sab
SDSS J145138.88+403556.9  9.70  6.75 11.07 AGN -0.28 -19.37   Sb 
SDSS J165458.22+220854.4  9.62  6.66 10.87 TO  +0.07 -18.87   Sab
SDSS J121918.52+431412.5  9.08  NA   10.33 SFG +0.23 -17.51   Sab
SDSS J130546.57+462742.3  9.46  6.48 10.60 TO  +0.22 -18.59   Sc 
SDSS J135034.52+445044.9  9.68  NA   11.21 SFG +0.33 -19.72   Sb 
SDSS J163121.57+224149.4  9.16  6.14 10.62 TO  +0.32 -18.64   Sc 
SDSS J155727.90+300335.4  9.83  6.89 10.00 AGN -0.14 -17.07   Sc 
SDSS J155601.61+302502.6 10.06  7.14 11.29 AGN -0.15 -19.91   Sab
SDSS J093011.12+343951.7  9.32  NA   10.75 SFG +0.45 -18.56   Sab
SDSS J102541.84+114420.8  8.44  NA    9.88 SFG +0.05 -17.03   Sd 
SDSS J110037.22+112455.1  9.72  6.77 10.89 AGN -0.35 -18.95   Sa 
SDSS J120356.03+071747.6  9.08  6.05 10.81 TO  +0.24 -18.71   Sb 
SDSS J141349.19+371608.7  9.34  NA   10.77 SFG +0.47 -18.62   Sab
SDSS J133601.21+495739.0  8.48  NA    9.83 SFG +0.24 -16.27   Sb 
SDSS J132956.48+505301.9  9.41  6.42 10.88 TO  -0.03 -18.89   Sb 
SDSS J151401.04+443526.0  8.93  NA   10.11 SFG +0.32 -17.61   Sd 
SDSS J142617.59+122110.5  9.42  6.43 10.84 AGN -0.26 -18.78   Sab
SDSS J151231.81+085126.0  9.80  6.86 10.78 AGN -0.06 -18.65   Sab
SDSS J152552.58+074910.6  9.81  6.87 11.10 TO  +0.37 -19.43   Sb 
SDSS J153938.96+101311.8  9.68  6.72 10.97 AGN -0.11 -19.11   Sab
SDSS J160817.26+073218.6  NA     NA   8.79 SFG -0.11 -15.79   Sm 
SDSS J074655.82+441556.5  9.44  6.46 11.00 TO  +0.37 -19.20   Sb 
SDSS J090100.09+103701.7 10.13  7.22 11.20 AGN -0.13 -19.73   Sa 
SDSS J112131.75+132535.8  9.63  6.67 11.10 TO  -0.11 -19.45   Sb 
SDSS J115605.96+150755.0  9.01  5.97 10.60 TO  +0.21 -18.20   Sb 
SDSS J075701.86+493402.4  8.74  NA   10.08 SFG +0.61 -17.52   Sd 
SDSS J084421.43+585031.1  8.24  NA    9.38 SFG +0.21 -15.79   Sd 
SDSS J124922.35+094903.5  9.73  NA   11.17 SFG +0.37 -19.61   Sab
SDSS J125831.75+081302.8  9.56  6.59 11.00 AGN -0.13 -19.22   Sa 
SDSS J142154.19+075257.1  9.62  6.66 10.67 AGN -0.11 -18.41   Sa 
SDSS J144412.18+075658.7  9.93  7.00 11.08 AGN -0.19 -19.43   Sa 
SDSS J140852.86+333155.5  9.58  6.61 11.22 TO  +0.14 -19.73   Sb 
SDSS J100242.47+674349.7  8.87  NA   10.56 SFG +0.50 -18.48   Sc 
SDSS J083203.49+240039.2  8.87  NA   10.64 SFG +0.24 -18.67   Sc 
SDSS J084533.12+261922.5  9.96  7.03 11.58 TO  +0.18 -20.64   Sab
SDSS J090847.53+295153.1  9.17  6.15 10.57 AGN -0.24 -18.12   Sab
SDSS J092723.49+302626.9  9.57  6.60 11.18 TO  +0.21 -19.65   Sb 
SDSS J092455.11+264628.8  9.46  6.48 10.80 AGN -0.24 -18.72   Sa 
SDSS J100750.53+341855.0  9.04  NA   10.79 SFG +0.33 -19.05   Sc 
SDSS J102351.92+313812.1  9.36  6.36 10.80 TO  +0.02 -18.68   Sab
SDSS J102734.02+340405.0 10.22  7.32 11.14 AGN +0.04 -19.58   Sa 
SDSS J123142.75+333514.7  9.52  NA   10.99 SFG +0.51 -19.17   Sab
SDSS J105946.27+332330.5  NA     NA   9.44 SFG -0.17 -17.4    Sm 
SDSS J110325.26+391518.3  9.00  5.96 10.58 TO  +0.20 -18.52   Sc 
SDSS J125129.54+314852.4  9.30  6.30 10.46 TO  +0.15 -17.85   Sab
SDSS J132256.47+281859.1  8.61  NA    9.87 SFG +0.25 -17.01   Sd 
SDSS J121449.33+330111.0 10.01  7.10 11.42 AGN -0.06 -20.25   Sab
SDSS J114032.48+353627.7 10.06  7.15 11.07 TO  -0.05 -19.39   Sa 
SDSS J124206.46+324539.5  9.68  6.72 10.99 TO  +0.24 -19.19   Sa 
SDSS J124426.19+370716.3  9.56  6.59 10.87 AGN -0.10 -19.25   Sc 
SDSS J134234.06+313150.9  9.59  6.62 10.75 AGN -0.24 -18.61   Sa 
SDSS J105550.05+312332.2  9.83  6.88 10.95 AGN -0.54 -19.10   Sa 
SDSS J135128.21+343400.4 10.43  7.56 11.36 AGN -0.14 -20.13   S0a
SDSS J125747.68+362214.5  9.06  6.02 10.64 AGN -0.52 -18.30   Sab
SDSS J104728.46+364927.1  9.75  6.80 10.74 AGN -0.05 -18.58   Sa 
SDSS J111326.77+303627.1  9.68  NA   11.24 SFG +0.37 -19.78   Sb 
SDSS J134009.10+365139.9  9.01  NA   10.73 SFG +0.42 -18.9    Sc 
SDSS J131244.75+314833.7  9.20  6.19 10.72 AGN -0.24 -18.88   Sc 
SDSS J110112.89+320849.6  9.93  7.00 11.04 TO  +0.12 -19.33   Sa 
SDSS J132838.16+333618.3  9.34  6.34 10.61 AGN -0.42 -18.22   Sb 
SDSS J135655.99+290951.7  9.05  6.02 10.53 AGN -0.13 -18.01   Sb 
SDSS J135317.78+332927.0  8.68  5.60 10.14 AGN -0.62 -17.05   Sb 
SDSS J142113.09+295936.6  9.78  6.83 11.24 TO  +0.22 -19.79   Sb 
SDSS J141816.86+313913.8  9.17  NA   10.56 SFG +0.34 -18.09   Sab
SDSS J144022.65+244346.1 10.04  7.13 11.25 AGN -0.11 -19.84   S0a
SDSS J143811.83+243130.4  8.95  5.91 10.18 AGN -0.44 -17.13   Sb 
SDSS J143709.54+251503.0 10.22  7.33 10.87 AGN -0.18 -18.89   Sa 
SDSS J152230.99+191541.1  9.16  6.14 10.44 TO  +0.05 -17.80   Sb 
SDSS J152847.28+254452.0  9.74  6.79 10.80 AGN -0.02 -18.73   Sa 
SDSS J153722.91+203259.3  9.66  6.70 10.65 AGN -0.15 -18.36   Sa 
SDSS J154520.30+171956.6 10.14  7.23 11.34 AGN -0.16 -20.07   Sa 
SDSS J161354.89+145536.1  9.89  6.96 11.23 AGN -0.11 -19.80   Sa 
SDSS J163050.13+161502.6  9.66  NA   11.21 SFG +0.53 -19.71   Sb 
SDSS J164509.37+132938.5 10.06  7.15 11.23 TO  +0.20 -19.76   Sab
SDSS J112311.43+293554.4 10.13  7.22 11.09 AGN -0.55 -19.46   Sa 
SDSS J114803.35+302133.5  9.49  6.51 11.45 AGN -0.19 -20.31   Sb 
SDSS J115502.29+271752.2  9.55  6.58 10.81 AGN -0.41 -18.76   Sa 
SDSS J114956.10+285857.2  9.54  6.57 10.97 TO  +0.10 -19.12   Sb 
SDSS J131453.43+270029.2  8.89  NA   10.18 SFG +0.25 -17.15   Sab
SDSS J131745.18+273411.5  9.37  6.37 10.93 TO  +0.04 -19.02   Sab
SDSS J134344.15+252331.7  9.80  6.86 10.98 AGN -0.37 -18.63   S0 
SDSS J080913.97+165915.2  8.83  NA   10.53 SFG +0.30 -18.01   Sb 
SDSS J084053.78+192117.6  9.03  NA   10.48 SFG +0.32 -17.88   Sab
SDSS J091907.13+213052.7  9.73  6.78 10.75 AGN -0.14 -18.60   S0a
SDSS J092106.57+241828.7  9.18  NA   11.06 SFG +0.21 -19.33   Sb 
SDSS J093757.99+252941.2  9.08  6.05 10.65 AGN -0.35 -18.31   Sb 
SDSS J095045.54+224515.9  9.36  NA   11.03 SFG +0.52 -19.27   Sb 
SDSS J094854.49+245229.0  9.62  NA   11.19 SFG +0.38 -19.67   Sb 
SDSS J095516.16+253431.9 10.10  7.19 11.05 AGN -0.07 -19.36   Sa 
SDSS J101519.11+282735.8  9.22  6.21 10.56 TO  -0.01 -18.13   Sa 
SDSS J101217.63+275143.4  9.27  NA   10.59 SFG +0.35 -18.16   Sb 
SDSS J101241.60+291832.7  9.88  6.95 11.29 TO  +0.28 -19.95   Sa 
SDSS J104244.63+265036.8  9.21  6.20 10.70 AGN -0.17 -18.45   Sab
SDSS J105845.67+250827.3  9.23  6.21 10.72 TO  +0.20 -18.49   Sb 
SDSS J092806.64+171147.3  9.02  NA   10.71 SFG +0.48 -18.46   Sab
SDSS J100836.40+181352.4  9.50  6.52 10.99 AGN -0.12 -19.21   Sa 
SDSS J080139.47+104357.7  9.06  6.02 10.46 TO  +0.11 -17.83   Sb 
SDSS J075708.03+103547.7  9.76  6.81 11.30 AGN -0.29 -19.93   Sab
SDSS J080020.97+111910.0  9.22  6.20 10.53 AGN -0.21 -17.51   S0 
SDSS J082810.99+103226.4  9.64  6.68 10.73 AGN -0.02 -18.51   Sab
SDSS J084315.92+130508.8  8.55  NA    9.92 SFG +0.02 -16.5    Sb 
SDSS J104808.12+181119.2  9.73  6.78 11.28 AGN -0.12 -19.38   S0 
SDSS J110434.47+160342.4  9.73  6.78 10.98 AGN -0.32 -19.18   S0a
SDSS J111828.26+251925.1  9.08  NA   10.87 SFG +0.25 -18.86   Sb 
SDSS J113833.71+252353.1  9.43  6.44 10.68 AGN -0.59 -18.43   Sa 
SDSS J114331.43+224331.5  9.20  6.18 11.17 TO  +0.37 -19.61   Sb 
SDSS J160538.07+100207.4  9.70  6.74 11.36 AGN -0.25 -20.10   Sab
SDSS J161026.55+121820.4  9.90  NA   11.18 SFG +0.45 -19.64   Sab
SDSS J161256.85+095201.5  9.73  6.78 10.81 AGN -0.25 -18.76   Sa 
SDSS J092050.74+131128.0  9.47  6.48 10.50 AGN -0.22 -17.98   Sa 
SDSS J094043.03+131936.8  9.73  6.78 11.09 TO  +0.17 -19.42   Sab
SDSS J094457.09+164226.7  9.32  6.32 10.64 AGN -0.27 -18.30   Sb 
SDSS J095307.14+164039.6  8.36  5.24  9.95 TO  +0.11 -16.96   Sc 
SDSS J103448.55+154255.0 10.25  NA   11.49 SFG +0.38 -20.42   Sab
SDSS J121037.50+160158.5  8.68  NA   10.58 SFG +0.45 -18.53   Sc 
SDSS J133038.54+180804.5  9.06  NA   10.71 SFG +0.41 -18.46   Sb 
SDSS J120311.56+194343.7  9.88  6.94 11.09 AGN -0.06 -19.45   Sa 
SDSS J123027.26+184834.9  9.71  6.75 11.46 TO  +0.12 -20.35   Sb 
SDSS J123608.14+191921.6  NA     NA   9.37 SFG -0.28 -17.24   Sm 
SDSS J130834.28+210259.8  8.61  NA   10.21 SFG +0.09 -17.85   Sd 
SDSS J131041.33+203210.5  8.89  NA   10.61 SFG +0.10 -18.21   Sb 
SDSS J131027.44+182617.4  8.91  NA   10.41 SFG +0.53 -17.72   Sb 
SDSS J133640.73+201200.4  9.21  6.19 10.61 AGN -0.23 -18.25   Sa 
SDSS J122659.47+223822.4  9.42  6.43 10.95 AGN -0.26 -19.10   Sa 
SDSS J132730.77+205251.4  9.30  6.30 10.63 AGN -0.44 -18.26   Sab
SDSS J121821.42+251300.3  9.13  NA   10.82 SFG +0.32 -18.74   Sb 
SDSS J121858.41+241110.7  9.81  6.87 10.61 AGN -0.16 -18.24   Sa 
SDSS J131616.82+252418.7  9.11  6.09 10.41 AGN -0.36 -17.71   Sab
SDSS J134652.67+161622.2  9.03  NA   10.82 SFG +0.40 -19.12   Sc 
SDSS J134745.25+165823.2 10.18  7.28 11.28 AGN -0.15 -19.40   S0 
SDSS J141450.37+150848.7  9.36  6.37 10.88 TO  +0.25 -18.88   Sb 
SDSS J150440.57+123800.4  9.63  6.66 11.39 TO  +0.13 -20.17   Sb 
SDSS J153351.72+110038.5  9.72  6.77 11.26 TO  +0.25 -19.83   Sab
SDSS J153000.83+125921.5  9.32  6.31 10.74 TO  +0.58 -18.53   Sb 
SDSS J140402.95+174441.5  9.87  6.94 11.16 AGN -0.38 -19.59   Sb 
SDSS J142213.95+172350.4 10.04  7.13 11.43 AGN -0.37 -20.26   Sab
SDSS J150402.35+152753.4  9.89  6.96 11.01 TO  +0.18 -19.26   Sa 
SDSS J152207.82+135541.5  9.66  6.70 11.02 AGN +0.01 -19.23   Sab
SDSS J134632.22+205051.0  9.31  NA   10.88 SFG +0.25 -19.27   Sc 
SDSS J152602.66+161923.6  9.04  NA   10.72 SFG +0.34 -18.87   Sc 
SDSS J135107.46+240105.6  9.43  NA   11.07 SFG +0.50 -19.37   Sb 
SDSS J142046.12+215608.6  9.00  NA   10.55 SFG +0.34 -18.46   Sc 
SDSS J105024.00+644834.0 10.00  7.08 11.23 AGN +0.04 -19.77   Sb 
